attributes,datatype,date,station,value
",,W,",PGTM,2017-01-01T00:00:00,GHCND:USW00013986,1507
",,W,",PGTM,2017-01-02T00:00:00,GHCND:USW00013986,103
",,W,",PGTM,2017-01-03T00:00:00,GHCND:USW00013986,658
",,W,",PGTM,2017-01-04T00:00:00,GHCND:USW00013986,2223
",,W,",PGTM,2017-01-05T00:00:00,GHCND:USW00013986,1419
",,W,",PGTM,2017-01-06T00:00:00,GHCND:USW00013986,1627
",,W,",PGTM,2017-01-07T00:00:00,GHCND:USW00013986,944
",,W,",PGTM,2017-01-08T00:00:00,GHCND:USW00013986,1255
",,W,",PGTM,2017-01-09T00:00:00,GHCND:USW00013986,1540
",,W,",PGTM,2017-01-10T00:00:00,GHCND:USW00013986,1101
",,W,",PGTM,2017-01-11T00:00:00,GHCND:USW00013986,1337
",,W,",PGTM,2017-01-12T00:00:00,GHCND:USW00013986,450
",,W,",PGTM,2017-01-13T00:00:00,GHCND:USW00013986,39
",,W,",PGTM,2017-01-14T00:00:00,GHCND:USW00013986,1155
",,W,",PGTM,2017-01-15T00:00:00,GHCND:USW00013986,2357
",,W,",PGTM,2017-01-16T00:00:00,GHCND:USW00013986,232
",,W,",PGTM,2017-01-17T00:00:00,GHCND:USW00013986,1436
",,W,",PGTM,2017-01-18T00:00:00,GHCND:USW00013986,1448
",,W,",PGTM,2017-01-19T00:00:00,GHCND:USW00013986,414
",,W,",PGTM,2017-01-20T00:00:00,GHCND:USW00013986,2307
",,W,",PGTM,2017-01-21T00:00:00,GHCND:USW00013986,2358
",,W,",PGTM,2017-01-22T00:00:00,GHCND:USW00013986,1420
",,W,",PGTM,2017-01-23T00:00:00,GHCND:USW00013986,1633
",,W,",PGTM,2017-01-24T00:00:00,GHCND:USW00013986,1707
",,W,",PGTM,2017-01-25T00:00:00,GHCND:USW00013986,919
",,W,",PGTM,2017-01-26T00:00:00,GHCND:USW00013986,1321
",,W,",PGTM,2017-01-27T00:00:00,GHCND:USW00013986,1428
",,W,",PGTM,2017-01-28T00:00:00,GHCND:USW00013986,1648
",,W,",PGTM,2017-01-29T00:00:00,GHCND:USW00013986,1454
",,W,",PGTM,2017-01-30T00:00:00,GHCND:USW00013986,1452
",,W,",PGTM,2017-01-31T00:00:00,GHCND:USW00013986,1022
",,W,",PGTM,2017-02-01T00:00:00,GHCND:USW00013986,1336
",,W,",PGTM,2017-02-02T00:00:00,GHCND:USW00013986,1013
",,W,",PGTM,2017-02-03T00:00:00,GHCND:USW00013986,2358
",,W,",PGTM,2017-02-04T00:00:00,GHCND:USW00013986,1047
",,W,",PGTM,2017-02-05T00:00:00,GHCND:USW00013986,843
",,W,",PGTM,2017-02-06T00:00:00,GHCND:USW00013986,1538
",,W,",PGTM,2017-02-07T00:00:00,GHCND:USW00013986,1844
",,W,",PGTM,2017-02-08T00:00:00,GHCND:USW00013986,740
",,W,",PGTM,2017-02-09T00:00:00,GHCND:USW00013986,1315
",,W,",PGTM,2017-02-10T00:00:00,GHCND:USW00013986,1505
",,W,",PGTM,2017-02-11T00:00:00,GHCND:USW00013986,2204
",,W,",PGTM,2017-02-12T00:00:00,GHCND:USW00013986,239
",,W,",PGTM,2017-02-13T00:00:00,GHCND:USW00013986,1013
",,W,",PGTM,2017-02-14T00:00:00,GHCND:USW00013986,828
",,W,",PGTM,2017-02-15T00:00:00,GHCND:USW00013986,1420
",,W,",PGTM,2017-02-16T00:00:00,GHCND:USW00013986,1416
",,W,",PGTM,2017-02-17T00:00:00,GHCND:USW00013986,1623
",,W,",PGTM,2017-02-18T00:00:00,GHCND:USW00013986,1604
",,W,",PGTM,2017-02-19T00:00:00,GHCND:USW00013986,1540
",,W,",PGTM,2017-02-20T00:00:00,GHCND:USW00013986,2005
",,W,",PGTM,2017-02-21T00:00:00,GHCND:USW00013986,1102
",,W,",PGTM,2017-02-22T00:00:00,GHCND:USW00013986,1202
",,W,",PGTM,2017-02-23T00:00:00,GHCND:USW00013986,2051
",,W,",PGTM,2017-02-24T00:00:00,GHCND:USW00013986,1126
",,W,",PGTM,2017-02-25T00:00:00,GHCND:USW00013986,1357
",,W,",PGTM,2017-02-26T00:00:00,GHCND:USW00013986,1501
",,W,",PGTM,2017-02-27T00:00:00,GHCND:USW00013986,1414
",,W,",PGTM,2017-02-28T00:00:00,GHCND:USW00013986,2308
",,W,",PGTM,2017-03-01T00:00:00,GHCND:USW00013986,1404
",,W,",PGTM,2017-03-02T00:00:00,GHCND:USW00013986,1309
",,W,",PGTM,2017-03-03T00:00:00,GHCND:USW00013986,1602
",,W,",PGTM,2017-03-04T00:00:00,GHCND:USW00013986,1411
",,W,",PGTM,2017-03-05T00:00:00,GHCND:USW00013986,1454
",,W,",PGTM,2017-03-06T00:00:00,GHCND:USW00013986,1851
",,W,",PGTM,2017-03-07T00:00:00,GHCND:USW00013986,1603
",,W,",PGTM,2017-03-08T00:00:00,GHCND:USW00013986,1101
",,W,",PGTM,2017-03-09T00:00:00,GHCND:USW00013986,2250
